,job,balance,housing,loan,contact,campaign,pdays,poutcome,education,default,duration,previous,deposit
3692,blue-collar,781,no,no,unknown,1,-1,unknown,secondary,no,152,0,0
1303,technician,10596,no,no,cellular,1,197,other,secondary,no,195,4,1
5024,technician,16992,yes,no,unknown,1,-1,unknown,tertiary,no,58,0,0
474,management,3115,no,no,cellular,5,-1,unknown,tertiary,no,432,0,1
6078,unemployed,1801,no,no,cellular,3,-1,unknown,tertiary,no,838,0,1
1910,management,578,no,yes,cellular,2,-1,unknown,tertiary,no,29,0,0
484,management,1556,yes,no,cellular,3,-1,unknown,tertiary,no,674,0,0
3878,services,365,no,no,cellular,1,-1,unknown,secondary,no,643,0,1
3818,technician,1026,no,no,cellular,1,100,failure,secondary,no,319,6,0
433,blue-collar,2467,no,no,cellular,1,-1,unknown,secondary,no,192,0,1
5255,unemployed,1374,no,no,cellular,2,178,success,primary,no,1205,7,1
5080,retired,1388,no,no,telephone,1,-1,unknown,primary,no,513,0,1
2064,blue-collar,29,yes,no,cellular,5,-1,unknown,secondary,no,285,0,1
630,services,181,no,no,cellular,2,93,success,secondary,no,239,2,1
2747,admin.,83,yes,no,cellular,6,-1,unknown,secondary,no,69,0,0
6071,student,1868,no,no,cellular,1,103,other,secondary,no,259,2,1
2268,student,294,no,no,cellular,1,91,success,tertiary,no,87,2,1
7009,services,0,yes,no,cellular,1,147,failure,tertiary,no,239,4,0
6110,technician,1610,no,no,unknown,2,-1,unknown,secondary,no,140,0,0
4329,management,85,yes,no,cellular,5,359,other,tertiary,no,590,1,1
7046,retired,723,no,no,telephone,1,79,failure,secondary,no,276,3,1
2489,services,471,yes,no,unknown,2,-1,unknown,primary,no,161,0,0
1354,technician,945,no,no,cellular,3,-1,unknown,secondary,no,312,0,0
1419,management,141,yes,no,cellular,3,89,success,tertiary,no,78,9,0
5453,blue-collar,3884,yes,no,cellular,5,-1,unknown,secondary,no,28,0,0
1251,management,5016,no,no,cellular,1,-1,unknown,tertiary,no,119,0,0
3959,management,102,yes,no,cellular,1,-1,unknown,tertiary,no,114,0,0
3675,management,154,no,no,telephone,2,367,failure,tertiary,no,70,3,0
3562,blue-collar,1536,yes,no,cellular,1,301,other,secondary,no,41,4,0
6881,management,346,no,no,cellular,1,180,success,tertiary,no,237,6,1
5103,blue-collar,410,no,yes,cellular,2,-1,unknown,primary,no,221,0,0
4526,blue-collar,192,no,no,telephone,2,-1,unknown,secondary,no,112,0,0
4981,services,319,yes,no,unknown,3,-1,unknown,secondary,no,467,0,1
4287,management,2044,no,no,telephone,1,-1,unknown,tertiary,no,25,0,0
1599,housemaid,39,no,no,cellular,4,-1,unknown,primary,no,299,0,0
5485,self-employed,0,yes,no,cellular,1,-1,unknown,secondary,no,84,0,0
3211,admin.,6971,no,no,cellular,1,-1,unknown,secondary,no,119,0,0
1447,retired,5313,no,no,cellular,2,196,success,secondary,no,283,1,1
2937,self-employed,-39,no,no,cellular,2,-1,unknown,tertiary,no,387,0,1
1231,management,726,yes,no,cellular,1,342,failure,tertiary,no,39,3,0
6045,entrepreneur,3571,no,no,unknown,3,-1,unknown,tertiary,no,222,0,0
4069,blue-collar,2657,yes,no,unknown,2,-1,unknown,primary,no,202,0,0
5416,services,1321,no,no,unknown,2,-1,unknown,secondary,no,271,0,0
5004,retired,18016,no,no,cellular,1,-1,unknown,secondary,no,371,0,1
2183,services,307,yes,yes,unknown,7,-1,unknown,secondary,no,250,0,0
2861,technician,586,no,yes,cellular,3,-1,unknown,secondary,no,32,0,0
1557,management,620,yes,no,cellular,3,-1,unknown,tertiary,no,93,0,0
1958,technician,2807,no,no,unknown,1,-1,unknown,tertiary,no,154,0,1
4360,admin.,14,yes,yes,unknown,9,-1,unknown,secondary,no,19,0,0
3144,student,4468,no,no,cellular,1,-1,unknown,unknown,no,204,0,1
5587,services,3413,no,no,cellular,7,-1,unknown,unknown,no,146,0,0
4121,management,589,no,no,cellular,2,-1,unknown,tertiary,no,125,0,1
4228,technician,0,no,no,cellular,1,-1,unknown,secondary,no,751,0,1
3729,technician,100,yes,no,cellular,5,-1,unknown,secondary,no,70,0,0
3708,services,271,yes,no,unknown,1,-1,unknown,secondary,no,365,0,0
1222,admin.,0,yes,no,cellular,1,-1,unknown,secondary,no,284,0,0
2914,blue-collar,435,yes,no,unknown,1,-1,unknown,secondary,no,204,0,0
5212,services,1788,no,no,cellular,1,181,failure,tertiary,no,288,2,1
6387,management,-181,yes,no,cellular,2,-1,unknown,tertiary,no,621,0,0
4617,retired,358,no,no,cellular,11,-1,unknown,primary,no,364,0,1
1714,technician,1711,no,no,telephone,1,-1,unknown,secondary,no,234,0,1
5599,technician,2326,no,no,cellular,1,175,failure,secondary,no,420,2,1
1186,self-employed,0,no,no,unknown,1,-1,unknown,tertiary,no,143,0,0
5891,management,0,no,no,cellular,2,-1,unknown,tertiary,no,213,0,0
5232,technician,-54,yes,yes,cellular,2,292,failure,secondary,no,698,1,1
2856,management,709,yes,no,cellular,1,-1,unknown,tertiary,no,54,0,0
1152,management,769,no,no,cellular,2,-1,unknown,tertiary,no,695,0,1
201,technician,4790,yes,no,cellular,1,272,failure,secondary,no,137,2,0
5086,self-employed,1755,no,no,unknown,10,-1,unknown,tertiary,no,152,0,0
4421,management,1433,no,no,unknown,3,-1,unknown,tertiary,no,298,0,0
7037,retired,63,no,no,cellular,2,-1,unknown,primary,no,122,0,0
4548,blue-collar,604,no,no,cellular,2,196,other,secondary,no,410,2,0
3837,housemaid,2196,no,no,cellular,1,-1,unknown,tertiary,no,215,0,1
4559,management,387,no,no,cellular,5,-1,unknown,tertiary,no,17,0,0
5679,retired,2600,no,no,cellular,1,-1,unknown,primary,no,212,0,1
2634,admin.,-61,no,no,cellular,4,-1,unknown,tertiary,no,95,0,1
5166,management,681,no,no,cellular,2,-1,unknown,tertiary,no,637,0,1
7007,management,-558,yes,no,cellular,1,-1,unknown,tertiary,no,533,0,0
6909,services,597,no,no,cellular,1,-1,unknown,tertiary,no,134,0,0
2903,blue-collar,327,yes,no,unknown,2,-1,unknown,secondary,no,333,0,0
7398,student,125,no,no,cellular,1,90,failure,secondary,no,263,1,1
6649,technician,179,yes,no,cellular,2,181,other,tertiary,no,432,4,0
3227,technician,395,no,no,cellular,1,148,failure,tertiary,no,136,1,1
4353,unknown,2443,no,no,unknown,8,-1,unknown,unknown,no,8,0,0
7296,blue-collar,90,yes,no,unknown,1,-1,unknown,secondary,no,127,0,0
1592,management,1400,yes,no,cellular,3,-1,unknown,tertiary,no,608,0,1
1871,blue-collar,-20,yes,no,unknown,3,-1,unknown,primary,no,353,0,0
1476,entrepreneur,46,no,no,cellular,1,-1,unknown,secondary,no,1013,0,0
5740,technician,178,no,no,cellular,3,-1,unknown,tertiary,no,656,0,1
5651,management,1624,no,no,cellular,3,182,success,tertiary,no,166,10,1
3333,management,-449,yes,no,cellular,1,-1,unknown,tertiary,no,691,0,1
1727,student,132,no,no,cellular,1,119,success,secondary,no,194,1,1
3219,management,171,no,no,cellular,3,-1,unknown,tertiary,no,1241,0,0
160,management,0,yes,no,cellular,5,-1,unknown,tertiary,no,767,0,1
5787,technician,3278,no,no,cellular,14,-1,unknown,secondary,no,645,0,1
1587,admin.,3547,no,no,telephone,6,-1,unknown,secondary,no,351,0,1
3982,retired,1712,no,no,cellular,1,-1,unknown,secondary,no,660,0,1
5781,student,1234,no,no,cellular,1,-1,unknown,secondary,no,250,0,1
1359,blue-collar,249,yes,no,cellular,5,-1,unknown,secondary,no,709,0,1
4765,services,6089,yes,no,cellular,2,-1,unknown,secondary,no,616,0,1
4829,admin.,0,yes,no,unknown,2,-1,unknown,secondary,no,229,0,0
5293,management,307,yes,no,cellular,1,-1,unknown,tertiary,no,690,0,1
2341,management,1594,yes,no,cellular,1,260,failure,tertiary,no,110,5,0
4588,admin.,168,yes,yes,unknown,1,-1,unknown,secondary,no,513,0,1
4363,blue-collar,360,no,no,unknown,2,-1,unknown,primary,no,98,0,0
4767,services,54,yes,no,cellular,1,-1,unknown,secondary,no,118,0,0
1591,housemaid,3706,no,no,unknown,3,-1,unknown,primary,no,209,0,0
2421,management,2881,no,no,cellular,3,-1,unknown,tertiary,no,120,0,1
7019,technician,2335,no,no,cellular,1,-1,unknown,secondary,no,624,0,1
2563,technician,294,yes,no,cellular,6,98,success,secondary,no,238,5,0
1114,blue-collar,320,yes,no,cellular,1,828,failure,secondary,no,352,2,1
4461,management,375,no,no,cellular,1,-1,unknown,tertiary,no,135,0,1
1908,blue-collar,449,yes,no,cellular,6,-1,unknown,primary,no,10,0,0
6415,management,1683,yes,yes,cellular,2,-1,unknown,tertiary,no,72,0,0
4094,technician,-71,yes,yes,cellular,1,-1,unknown,tertiary,no,1451,0,1
7100,blue-collar,423,yes,no,cellular,1,-1,unknown,secondary,no,498,0,1
1757,management,1610,yes,no,unknown,3,-1,unknown,secondary,no,1248,0,1
5128,blue-collar,2388,no,no,cellular,2,-1,unknown,primary,no,317,0,0
4129,technician,148,no,no,cellular,1,-1,unknown,tertiary,no,421,0,0
2414,services,258,yes,no,unknown,2,-1,unknown,secondary,no,131,0,0
6347,retired,5769,no,no,unknown,3,-1,unknown,tertiary,no,15,0,0
2770,management,199,yes,no,cellular,1,-1,unknown,tertiary,no,497,0,0
3193,technician,1345,yes,no,cellular,1,172,failure,secondary,no,82,3,0
4365,management,62,yes,no,cellular,1,182,failure,tertiary,no,566,7,1
7389,services,775,no,no,cellular,2,-1,unknown,secondary,no,150,0,1
5394,management,72,no,no,cellular,13,-1,unknown,tertiary,yes,171,0,0
1000,management,4,no,yes,cellular,9,-1,unknown,tertiary,no,30,0,0
4838,admin.,150,no,no,cellular,4,-1,unknown,secondary,no,296,0,1
7321,admin.,69,no,yes,cellular,2,-1,unknown,tertiary,no,77,0,0
4469,blue-collar,2185,yes,no,unknown,1,-1,unknown,tertiary,no,698,0,0
5082,blue-collar,638,yes,no,unknown,2,-1,unknown,secondary,no,1395,0,1
5585,services,130,yes,no,unknown,1,-1,unknown,secondary,no,193,0,0
4810,technician,1109,no,no,cellular,1,167,failure,tertiary,no,642,2,1
6381,technician,1646,yes,no,cellular,1,92,success,tertiary,no,173,5,1
7171,technician,589,yes,no,cellular,3,183,success,secondary,no,511,6,1
3535,management,3473,no,no,cellular,2,-1,unknown,tertiary,no,1209,0,1
4594,blue-collar,1428,yes,no,unknown,2,-1,unknown,primary,no,82,0,0
6937,blue-collar,115,yes,no,unknown,4,-1,unknown,primary,no,78,0,0
3446,technician,1587,yes,yes,cellular,2,-1,unknown,secondary,no,502,0,0
2733,admin.,3735,no,no,cellular,1,184,success,secondary,no,183,11,1
4701,technician,175,no,yes,unknown,2,-1,unknown,secondary,no,757,0,0
3988,technician,3,no,no,cellular,4,-1,unknown,secondary,no,100,0,0
5883,retired,565,no,no,telephone,1,-1,unknown,primary,no,876,0,1
6976,management,1350,yes,yes,cellular,1,-1,unknown,tertiary,no,716,0,0
2080,services,139,no,no,cellular,3,-1,unknown,secondary,no,165,0,0
7106,management,-6847,no,yes,cellular,1,-1,unknown,tertiary,yes,206,0,0
1434,management,10583,no,no,cellular,1,178,success,tertiary,no,272,6,1
3762,technician,252,no,no,cellular,3,-1,unknown,tertiary,no,107,0,1
1208,services,-361,yes,no,cellular,3,349,other,secondary,no,1062,3,1
4093,technician,-242,yes,no,cellular,3,278,success,secondary,no,1173,6,1
278,blue-collar,97,yes,no,unknown,1,-1,unknown,secondary,no,709,0,1
4335,retired,1623,yes,yes,cellular,1,-1,unknown,primary,no,246,0,0
3499,technician,1227,no,no,cellular,5,134,success,secondary,no,1005,10,1
4101,unemployed,111,no,no,cellular,1,-1,unknown,secondary,no,537,0,1
6989,technician,248,no,no,cellular,4,-1,unknown,secondary,no,163,0,0
2882,management,-27,yes,no,cellular,1,-1,unknown,secondary,no,289,0,0
2798,blue-collar,820,no,no,cellular,1,-1,unknown,secondary,no,98,0,1
4623,student,53,no,no,cellular,1,-1,unknown,unknown,no,270,0,1
6491,services,8806,yes,no,unknown,1,-1,unknown,primary,no,131,0,0
4256,management,1602,yes,no,cellular,1,-1,unknown,tertiary,no,154,0,0
1397,technician,988,no,no,cellular,5,-1,unknown,tertiary,no,1408,0,1
3060,technician,390,yes,no,unknown,1,-1,unknown,tertiary,no,85,0,0
6999,management,171,yes,no,cellular,6,-1,unknown,tertiary,no,73,0,0
7170,retired,197,no,no,cellular,1,-1,unknown,secondary,no,1386,0,0
1459,housemaid,237,no,no,telephone,3,-1,unknown,primary,no,200,0,0
3948,technician,3499,yes,no,unknown,3,-1,unknown,secondary,no,248,0,0
434,management,3301,yes,no,cellular,2,227,failure,tertiary,no,485,4,1
5031,technician,6714,yes,no,unknown,1,-1,unknown,secondary,no,90,0,0
3780,admin.,-312,yes,no,unknown,1,-1,unknown,secondary,no,232,0,0
844,management,222,no,yes,cellular,1,204,other,tertiary,no,111,2,0
4633,blue-collar,3043,yes,yes,cellular,1,-1,unknown,secondary,no,670,0,1
3914,technician,1679,no,no,telephone,1,-1,unknown,secondary,no,718,0,1
2597,admin.,4,no,no,unknown,2,-1,unknown,secondary,no,7,0,0
2767,blue-collar,476,yes,no,cellular,9,-1,unknown,secondary,no,956,0,1
7250,management,333,no,no,cellular,6,-1,unknown,secondary,no,80,0,0
2688,retired,2473,no,no,cellular,3,-1,unknown,secondary,no,967,0,1
4903,entrepreneur,-31,yes,no,cellular,2,-1,unknown,tertiary,no,171,0,0
26,admin.,204,no,no,cellular,2,-1,unknown,primary,no,123,0,0
1215,technician,19,yes,no,cellular,15,-1,unknown,secondary,no,16,0,0
4274,management,1741,yes,yes,telephone,1,-1,unknown,tertiary,no,40,0,0
1600,blue-collar,0,yes,no,cellular,1,345,other,secondary,no,1174,4,1
6426,services,1239,yes,no,cellular,2,347,failure,secondary,no,60,1,0
945,management,735,yes,no,unknown,3,-1,unknown,tertiary,no,50,0,0
1565,management,2944,no,no,cellular,8,-1,unknown,tertiary,no,882,0,1
5193,technician,0,yes,no,cellular,1,96,success,secondary,no,524,5,1
6879,admin.,79,yes,no,cellular,1,92,success,tertiary,no,203,5,1
7135,technician,9851,yes,no,cellular,5,-1,unknown,tertiary,no,128,0,0
1794,admin.,-811,yes,no,cellular,2,-1,unknown,secondary,no,365,0,1
4489,admin.,11174,yes,no,cellular,1,-1,unknown,secondary,no,953,0,1
3996,student,0,no,no,cellular,3,276,failure,tertiary,no,233,2,1
5386,blue-collar,5,no,no,cellular,3,-1,unknown,secondary,no,840,0,1
4931,retired,588,no,no,cellular,1,91,failure,secondary,no,366,2,1
1521,blue-collar,-207,no,no,cellular,2,-1,unknown,primary,no,878,0,1
5381,retired,5966,yes,no,cellular,1,-1,unknown,secondary,no,983,0,1
4556,management,1514,no,no,cellular,2,-1,unknown,tertiary,no,284,0,0
4261,management,1093,yes,yes,cellular,1,246,success,tertiary,no,316,4,1
6020,blue-collar,953,yes,no,unknown,2,-1,unknown,secondary,no,747,0,1
5102,retired,746,no,no,cellular,5,-1,unknown,tertiary,no,372,0,1
264,blue-collar,-306,yes,yes,unknown,4,-1,unknown,primary,no,851,0,0
1069,management,238,no,no,cellular,1,-1,unknown,tertiary,no,692,0,1
5425,services,406,yes,no,cellular,1,275,failure,secondary,no,61,1,0
6569,management,0,no,no,cellular,3,-1,unknown,tertiary,no,643,0,0
62,technician,5953,no,no,cellular,1,-1,unknown,secondary,no,1113,0,0
3849,management,606,no,no,cellular,6,-1,unknown,primary,no,77,0,0
2670,technician,10655,no,no,telephone,3,-1,unknown,secondary,no,5,0,0
4998,management,10786,no,no,unknown,3,-1,unknown,tertiary,no,111,0,0
5701,management,92,no,no,cellular,5,-1,unknown,tertiary,no,175,0,1
5936,admin.,3954,yes,no,cellular,1,117,failure,tertiary,no,87,2,0
6880,admin.,396,yes,no,cellular,3,348,failure,secondary,no,366,2,1
208,management,413,no,no,cellular,2,183,success,tertiary,no,252,3,1
3975,technician,0,yes,no,cellular,2,2,success,secondary,no,231,3,1
4248,management,0,yes,no,unknown,2,-1,unknown,tertiary,no,46,0,0
6436,entrepreneur,135,yes,no,cellular,1,345,failure,secondary,no,114,2,0
3659,admin.,2064,yes,no,unknown,2,-1,unknown,secondary,no,165,0,0
746,student,864,yes,no,cellular,1,-1,unknown,secondary,no,659,0,1
5029,services,12223,yes,no,cellular,1,-1,unknown,tertiary,no,36,0,0
909,technician,-119,no,yes,cellular,5,-1,unknown,secondary,no,359,0,1
1040,blue-collar,0,no,no,cellular,2,-1,unknown,primary,no,543,0,0
5075,services,1836,yes,no,cellular,2,-1,unknown,secondary,no,750,0,1
6520,technician,191,no,no,cellular,5,-1,unknown,secondary,no,228,0,0
6399,self-employed,706,no,no,cellular,1,386,failure,secondary,no,588,3,1
6366,services,173,yes,no,unknown,2,-1,unknown,secondary,no,130,0,0
7237,admin.,1265,no,no,cellular,2,-1,unknown,secondary,no,137,0,0
1734,unemployed,9,no,yes,cellular,2,-1,unknown,primary,no,919,0,1
4369,management,1200,no,no,cellular,3,-1,unknown,tertiary,no,904,0,1
2900,student,505,yes,no,cellular,1,-1,unknown,tertiary,no,37,0,0
5729,blue-collar,682,no,no,cellular,2,91,success,secondary,no,126,1,1
75,services,1667,yes,yes,unknown,1,-1,unknown,secondary,no,85,0,0
2915,management,-666,yes,no,cellular,2,-1,unknown,tertiary,no,204,0,0
5145,blue-collar,408,no,no,cellular,2,-1,unknown,secondary,no,338,0,0
1010,technician,5,no,no,cellular,2,-1,unknown,secondary,no,131,0,0
3442,technician,3579,no,no,cellular,2,-1,unknown,secondary,no,308,0,0
4498,entrepreneur,6188,no,no,cellular,1,-1,unknown,primary,no,453,0,1
3325,management,76,yes,no,cellular,2,371,failure,tertiary,no,747,3,1
5917,blue-collar,2007,no,no,cellular,1,92,success,secondary,no,194,5,1
1924,self-employed,1636,no,no,cellular,1,-1,unknown,tertiary,no,187,0,0
4104,retired,-639,yes,no,cellular,1,-1,unknown,secondary,no,585,0,1
7036,management,698,no,no,cellular,1,-1,unknown,unknown,no,186,0,0
2136,admin.,989,no,no,unknown,1,-1,unknown,unknown,no,116,0,0
1899,blue-collar,2850,no,no,unknown,2,-1,unknown,secondary,no,181,0,0
5432,admin.,952,no,no,cellular,1,-1,unknown,secondary,no,310,0,1
6246,blue-collar,180,no,no,cellular,2,182,success,secondary,no,390,5,1
877,student,60,no,no,cellular,1,-1,unknown,unknown,no,253,0,0
902,blue-collar,0,yes,no,unknown,1,-1,unknown,secondary,no,133,0,0
1810,services,7,yes,no,unknown,1,-1,unknown,secondary,no,217,0,0
358,management,2071,no,no,cellular,1,-1,unknown,secondary,no,449,0,1
2177,entrepreneur,2908,no,no,unknown,1,-1,unknown,secondary,no,322,0,0
5946,technician,80,no,no,cellular,1,-1,unknown,tertiary,no,123,0,0
2086,technician,403,no,no,unknown,1,-1,unknown,secondary,no,247,0,1
7279,blue-collar,820,no,no,cellular,1,91,success,secondary,no,262,1,1
4027,management,80,no,no,cellular,2,94,other,tertiary,no,434,1,1
1576,blue-collar,476,no,no,cellular,3,-1,unknown,primary,no,856,0,1
3082,technician,227,no,no,cellular,1,-1,unknown,secondary,no,278,0,1
5696,admin.,4099,no,no,cellular,2,-1,unknown,secondary,no,397,0,1
2422,technician,0,no,no,cellular,7,-1,unknown,tertiary,no,187,0,1
6689,technician,240,yes,no,cellular,3,277,success,unknown,no,108,1,1
4644,admin.,-306,yes,no,cellular,1,459,success,primary,no,308,1,1
1796,technician,360,yes,no,unknown,1,-1,unknown,secondary,no,73,0,0
3547,unemployed,284,yes,no,cellular,1,-1,unknown,secondary,no,855,0,1
5167,blue-collar,1262,yes,yes,unknown,1,-1,unknown,primary,no,1015,0,1
412,services,1000,no,no,cellular,2,-1,unknown,secondary,no,766,0,1
2885,management,2383,no,no,cellular,2,63,success,tertiary,no,1019,2,1
930,management,2283,no,no,cellular,2,98,failure,tertiary,no,243,2,1
4103,admin.,57,no,yes,cellular,2,-1,unknown,secondary,no,50,0,0
4191,management,541,yes,yes,unknown,1,-1,unknown,tertiary,no,572,0,0
1844,management,561,no,no,cellular,1,-1,unknown,tertiary,no,104,0,0
2905,services,115,no,no,unknown,1,-1,unknown,secondary,no,201,0,0
4628,admin.,523,no,yes,cellular,3,101,success,secondary,no,136,1,0
2952,services,699,yes,no,unknown,1,-1,unknown,secondary,no,544,0,0
5334,retired,240,no,no,cellular,1,-1,unknown,primary,no,325,0,1
3080,services,2022,no,no,cellular,4,-1,unknown,unknown,no,159,0,1
1550,housemaid,1405,no,no,unknown,1,-1,unknown,primary,no,127,0,0
6931,management,50,yes,no,cellular,1,337,failure,tertiary,no,669,3,1
2197,retired,2384,no,no,cellular,2,-1,unknown,secondary,no,196,0,1
3470,technician,1,yes,no,unknown,2,-1,unknown,secondary,no,506,0,0
58,admin.,-194,yes,no,cellular,2,-1,unknown,secondary,no,238,0,0
4423,services,-389,yes,yes,unknown,1,-1,unknown,secondary,no,52,0,0
7374,student,2488,no,no,cellular,1,-1,unknown,secondary,no,180,0,1
5796,unemployed,926,no,no,cellular,2,178,success,secondary,no,504,10,1
7085,technician,2000,no,no,telephone,2,-1,unknown,secondary,no,226,0,0
4011,blue-collar,3014,yes,no,cellular,2,-1,unknown,tertiary,no,291,0,0
5196,management,3840,yes,no,cellular,2,-1,unknown,tertiary,no,315,0,1
5591,admin.,1535,yes,no,unknown,1,-1,unknown,secondary,no,704,0,1
2281,management,1575,no,no,cellular,4,-1,unknown,tertiary,no,178,0,0
835,blue-collar,1405,yes,no,unknown,2,-1,unknown,secondary,no,629,0,1
5177,management,537,no,no,unknown,3,-1,unknown,tertiary,no,187,0,0
6546,entrepreneur,975,yes,yes,cellular,4,-1,unknown,unknown,no,236,0,0
4657,services,1355,no,no,cellular,7,-1,unknown,secondary,no,409,0,0
996,entrepreneur,546,no,no,cellular,3,-1,unknown,secondary,no,297,0,0
590,management,57,no,no,cellular,2,84,success,tertiary,no,96,1,0
1930,management,31,no,no,cellular,1,-1,unknown,tertiary,no,135,0,1
461,entrepreneur,1800,yes,no,unknown,1,-1,unknown,tertiary,no,53,0,0
47,management,2599,no,no,cellular,2,-1,unknown,tertiary,no,1373,0,1
4113,blue-collar,3517,yes,no,unknown,1,-1,unknown,primary,no,445,0,0
6654,blue-collar,0,yes,no,cellular,4,-1,unknown,secondary,no,6,0,0
6433,self-employed,1943,yes,no,cellular,2,-1,unknown,tertiary,no,478,0,0
3107,management,351,yes,no,unknown,3,-1,unknown,tertiary,no,999,0,0
4359,blue-collar,1946,no,no,cellular,1,95,success,secondary,no,192,1,1
4710,management,1272,yes,no,cellular,2,-1,unknown,secondary,no,342,0,0
5426,retired,2223,no,no,telephone,2,187,success,primary,no,365,1,0
7263,technician,14,no,no,cellular,1,92,success,secondary,no,167,1,1
3155,management,0,no,no,cellular,1,-1,unknown,tertiary,no,1165,0,1
4564,management,1240,no,no,cellular,1,-1,unknown,tertiary,no,849,0,1
293,technician,969,no,no,cellular,1,-1,unknown,tertiary,no,95,0,0
1115,management,1046,no,no,unknown,1,-1,unknown,tertiary,no,901,0,1
3199,blue-collar,-184,yes,no,cellular,3,170,failure,secondary,no,878,5,1
1755,management,271,yes,no,cellular,1,94,success,tertiary,no,308,4,1
3890,services,11,yes,no,unknown,4,-1,unknown,secondary,no,114,0,0
4239,technician,2643,no,no,telephone,5,-1,unknown,tertiary,no,331,0,1
5624,technician,2779,no,no,cellular,2,-1,unknown,secondary,no,118,0,1
2566,entrepreneur,2971,no,no,cellular,1,97,failure,secondary,no,247,8,1
908,retired,927,no,no,cellular,3,-1,unknown,secondary,no,427,0,1
6421,technician,27,yes,no,cellular,1,305,other,secondary,no,214,1,1
5649,technician,7863,no,no,cellular,6,-1,unknown,secondary,no,59,0,0
2361,management,588,yes,no,cellular,5,-1,unknown,secondary,no,11,0,0
4682,management,136,no,no,cellular,2,-1,unknown,tertiary,no,120,0,0
5363,self-employed,102,yes,no,cellular,1,-1,unknown,primary,no,560,0,1
3934,management,427,yes,no,cellular,3,169,failure,tertiary,no,17,2,0
3832,retired,695,no,no,cellular,1,-1,unknown,primary,no,233,0,1
3512,blue-collar,794,yes,no,cellular,1,252,other,secondary,no,342,1,0
3039,retired,12114,no,no,telephone,2,-1,unknown,primary,no,165,0,1
336,blue-collar,-203,yes,no,unknown,3,-1,unknown,secondary,yes,465,0,1
5010,management,346,no,no,cellular,1,92,success,tertiary,no,122,5,1
4535,self-employed,1129,yes,no,cellular,2,184,failure,tertiary,no,64,2,0
2602,blue-collar,152,yes,no,cellular,2,-1,unknown,primary,no,252,0,0
1298,blue-collar,-84,yes,yes,cellular,5,-1,unknown,secondary,no,63,0,0
4470,admin.,2678,no,no,telephone,6,-1,unknown,secondary,no,1011,0,1
3203,retired,3782,no,no,cellular,1,-1,unknown,primary,no,618,0,0
2331,management,1898,yes,yes,unknown,1,-1,unknown,secondary,no,233,0,0
846,management,682,no,no,cellular,6,-1,unknown,tertiary,no,638,0,1
3451,blue-collar,0,no,no,unknown,2,-1,unknown,secondary,no,85,0,0
3459,services,322,yes,no,unknown,1,-1,unknown,secondary,no,61,0,0
964,unemployed,1978,no,no,cellular,1,-1,unknown,secondary,no,335,0,1
177,retired,0,no,no,cellular,1,-1,unknown,primary,no,506,0,0
2644,services,881,yes,no,unknown,5,-1,unknown,secondary,no,67,0,0
7126,student,552,no,no,cellular,1,-1,unknown,secondary,no,327,0,1
4089,management,1808,yes,no,unknown,4,-1,unknown,tertiary,no,99,0,0
1148,services,1951,yes,no,unknown,2,-1,unknown,primary,no,208,0,0
1444,unemployed,0,yes,no,cellular,1,272,failure,secondary,no,699,1,1
6216,entrepreneur,2543,no,no,cellular,1,414,failure,secondary,no,223,4,1
4690,blue-collar,178,yes,no,unknown,1,-1,unknown,primary,no,245,0,0
7182,blue-collar,953,yes,no,unknown,1,-1,unknown,primary,no,135,0,0
3860,admin.,1388,yes,no,cellular,5,-1,unknown,secondary,no,150,0,0
1301,retired,143,no,no,telephone,1,-1,unknown,secondary,no,345,0,0
268,management,0,yes,no,cellular,1,-1,unknown,tertiary,no,310,0,0
4481,management,713,no,no,cellular,1,-1,unknown,tertiary,no,162,0,0
2673,blue-collar,-27,no,no,unknown,2,-1,unknown,secondary,yes,498,0,1
3541,admin.,731,no,no,cellular,3,-1,unknown,secondary,no,107,0,1
2696,admin.,397,yes,yes,cellular,1,257,other,secondary,no,127,1,1
1291,management,2786,no,no,cellular,2,72,success,tertiary,no,300,1,1
3250,technician,0,no,no,unknown,1,-1,unknown,secondary,no,74,0,0
3389,management,393,no,no,cellular,2,-1,unknown,tertiary,no,458,0,0
212,technician,200,no,no,cellular,2,-1,unknown,secondary,no,315,0,0
3256,management,6659,yes,no,unknown,1,-1,unknown,tertiary,no,83,0,0
4259,management,219,no,no,cellular,6,196,failure,tertiary,no,22,6,0
4807,blue-collar,-308,yes,no,cellular,1,-1,unknown,primary,no,725,0,1
5217,self-employed,0,no,no,cellular,4,-1,unknown,secondary,no,277,0,0
5130,management,373,yes,no,unknown,1,-1,unknown,secondary,no,54,0,0
5756,services,1539,no,no,unknown,2,-1,unknown,secondary,no,65,0,0
4738,admin.,2854,yes,no,unknown,1,-1,unknown,secondary,no,64,0,0
6661,admin.,5310,no,no,unknown,1,-1,unknown,secondary,no,74,0,0
4871,blue-collar,70,no,no,unknown,1,-1,unknown,primary,no,813,0,1
1684,technician,240,yes,yes,cellular,3,-1,unknown,tertiary,no,86,0,0
6009,admin.,0,yes,no,cellular,2,295,failure,secondary,no,895,2,1
5672,admin.,157,yes,yes,cellular,2,-1,unknown,secondary,no,164,0,0
4992,services,52,yes,no,cellular,1,185,success,secondary,no,908,9,1
2686,self-employed,-94,yes,no,cellular,1,203,failure,tertiary,no,1164,1,1
