,job,balance,housing,loan,contact,month,campaign,poutcome,deposit
3747,blue-collar,-85,yes,yes,unknown,may,1,unknown,no
5216,admin.,1210,no,no,cellular,oct,1,failure,yes
1301,admin.,344,no,no,cellular,may,2,unknown,yes
4005,admin.,869,no,no,unknown,may,1,unknown,yes
2032,admin.,315,yes,no,cellular,may,3,failure,yes
6556,retired,0,no,no,cellular,jun,2,unknown,yes
6563,management,1519,no,no,cellular,oct,1,success,yes
5909,technician,4,no,no,cellular,jan,1,unknown,yes
3612,management,874,yes,no,cellular,jun,1,unknown,yes
942,technician,742,no,no,cellular,may,1,unknown,yes
4223,admin.,714,yes,no,unknown,may,1,unknown,no
261,blue-collar,592,yes,yes,unknown,may,1,unknown,no
6296,admin.,304,no,no,cellular,mar,1,unknown,yes
7095,blue-collar,3585,no,no,telephone,nov,1,unknown,yes
5502,technician,16,no,no,cellular,aug,1,unknown,yes
1010,management,830,yes,yes,unknown,may,1,unknown,yes
422,services,0,yes,yes,cellular,nov,1,failure,no
2557,student,423,no,no,cellular,jul,1,success,yes
3632,admin.,777,no,yes,cellular,may,1,unknown,no
3392,services,-311,yes,no,cellular,may,2,other,no
6260,technician,4568,no,no,unknown,jun,1,unknown,no
4426,technician,1646,yes,no,cellular,may,1,success,yes
2023,blue-collar,665,yes,no,unknown,jun,2,unknown,no
2788,admin.,142,yes,no,cellular,may,1,unknown,yes
6745,management,297,yes,no,cellular,may,2,unknown,yes
2332,services,335,yes,no,unknown,may,2,unknown,no
1599,technician,6101,no,no,cellular,may,5,success,no
2751,management,649,no,no,cellular,jul,2,failure,no
303,entrepreneur,0,no,no,unknown,jun,1,unknown,no
1786,student,0,no,no,cellular,jul,1,failure,yes
4653,self-employed,0,no,yes,telephone,jul,2,unknown,no
2145,admin.,1052,no,no,cellular,apr,1,unknown,yes
3946,technician,489,yes,no,cellular,jul,4,unknown,yes
500,blue-collar,0,yes,no,cellular,may,1,failure,no
6774,entrepreneur,3119,yes,no,unknown,may,4,unknown,no
3106,services,146,yes,yes,cellular,may,4,failure,yes
604,retired,638,no,no,cellular,feb,1,success,yes
5883,management,171,no,no,cellular,mar,1,unknown,yes
6237,blue-collar,1556,no,yes,cellular,jul,1,unknown,no
1561,management,2944,no,no,cellular,aug,8,unknown,yes
1396,technician,179,no,no,cellular,aug,3,unknown,no
5027,management,346,no,no,cellular,feb,1,success,yes
1038,management,3754,no,no,cellular,apr,1,failure,yes
5695,blue-collar,1808,yes,no,cellular,may,1,unknown,yes
5490,management,2159,no,no,unknown,feb,1,unknown,yes
3062,admin.,-461,yes,yes,unknown,jun,8,unknown,no
2025,blue-collar,3140,yes,no,unknown,may,9,unknown,no
5306,technician,294,yes,no,cellular,dec,1,success,yes
6431,management,1058,no,no,cellular,mar,3,unknown,yes
5063,entrepreneur,222,no,no,cellular,nov,1,unknown,no
3043,blue-collar,193,yes,no,unknown,may,1,unknown,no
4379,management,312,no,no,cellular,aug,1,failure,no
5828,blue-collar,-390,yes,no,cellular,may,1,unknown,no
7051,admin.,-43,yes,yes,cellular,apr,1,unknown,no
824,technician,-938,yes,no,cellular,may,1,failure,no
6659,services,-344,no,yes,cellular,feb,1,unknown,no
1896,management,621,no,no,cellular,aug,3,unknown,no
5904,management,0,no,no,cellular,aug,2,unknown,no
1604,blue-collar,660,no,no,unknown,jun,1,unknown,no
6304,admin.,880,yes,yes,cellular,may,3,unknown,no
6371,unemployed,2245,no,no,cellular,nov,2,unknown,yes
2691,technician,4130,no,no,cellular,jan,2,unknown,no
5017,blue-collar,-493,yes,no,cellular,may,2,failure,yes
6284,technician,0,no,no,unknown,jul,2,unknown,yes
6820,technician,1211,yes,no,unknown,may,1,unknown,yes
1293,admin.,-462,yes,no,cellular,feb,5,unknown,no
5495,admin.,1330,yes,no,unknown,may,8,unknown,no
3082,management,9326,yes,no,unknown,jun,1,unknown,no
7154,management,318,yes,no,cellular,apr,1,other,yes
4210,technician,945,yes,no,cellular,aug,1,unknown,no
3762,management,355,no,no,cellular,aug,3,unknown,no
1113,management,3770,no,no,cellular,jan,2,unknown,no
1130,management,275,no,no,cellular,nov,1,unknown,no
931,management,134,yes,yes,cellular,may,3,unknown,yes
4740,blue-collar,0,yes,no,cellular,may,1,failure,no
2051,management,560,no,no,cellular,apr,1,failure,yes
4185,technician,513,yes,no,cellular,may,3,other,no
6634,technician,1257,yes,no,cellular,jul,1,unknown,no
6326,management,1202,yes,no,cellular,nov,1,unknown,no
6351,management,22815,no,no,cellular,aug,8,unknown,no
5763,student,3511,no,no,cellular,oct,1,success,yes
1242,retired,820,no,no,telephone,oct,2,success,yes
3300,blue-collar,316,no,no,unknown,jun,2,unknown,no
3012,blue-collar,328,yes,no,unknown,may,1,unknown,no
2512,retired,5267,no,no,cellular,feb,3,unknown,yes
2199,management,1466,no,no,cellular,aug,4,unknown,no
5202,management,802,yes,no,cellular,may,2,unknown,yes
1968,management,182,no,no,cellular,jan,1,unknown,no
5774,blue-collar,1165,yes,no,unknown,may,4,unknown,yes
571,management,402,yes,no,unknown,may,3,unknown,no
6151,retired,2269,no,no,unknown,jun,1,unknown,yes
1878,management,4152,yes,no,cellular,apr,2,other,yes
368,blue-collar,-337,yes,yes,cellular,may,1,unknown,no
2479,technician,670,no,no,cellular,oct,2,unknown,yes
2446,management,1276,no,no,cellular,aug,2,unknown,yes
1111,services,6,yes,no,unknown,may,2,unknown,no
6642,admin.,4253,yes,no,cellular,may,1,unknown,no
1078,admin.,529,yes,no,cellular,sep,1,other,no
4685,management,71,no,no,cellular,nov,1,failure,no
5321,management,481,yes,no,cellular,jun,1,other,yes
3226,services,1820,yes,no,cellular,jul,1,unknown,yes
1787,unemployed,44,no,no,cellular,aug,1,unknown,yes
2257,admin.,272,yes,no,cellular,oct,2,unknown,no
2710,technician,2836,no,yes,cellular,aug,2,unknown,no
239,management,0,no,no,cellular,aug,5,unknown,no
3208,blue-collar,2240,yes,no,cellular,nov,1,failure,no
57,admin.,-194,yes,no,cellular,apr,2,unknown,no
5259,services,437,yes,no,cellular,may,3,unknown,yes
3712,services,1934,no,no,cellular,sep,1,unknown,yes
1426,blue-collar,922,yes,no,telephone,jul,1,unknown,yes
4360,management,568,no,no,cellular,aug,10,unknown,yes
4268,management,219,no,no,cellular,feb,6,failure,no
628,blue-collar,4121,yes,yes,cellular,nov,1,unknown,no
5493,management,275,no,no,cellular,aug,2,other,yes
5795,blue-collar,548,no,no,cellular,aug,7,unknown,yes
1229,admin.,430,yes,no,cellular,apr,2,unknown,no
365,services,8876,no,no,cellular,feb,1,failure,no
7113,technician,151,yes,no,cellular,apr,3,failure,no
7025,management,12569,no,no,cellular,sep,1,failure,yes
6436,management,0,no,no,unknown,may,2,unknown,no
740,technician,372,yes,no,cellular,nov,1,failure,no
5262,retired,3648,no,no,telephone,jun,3,unknown,yes
6334,retired,1050,no,no,cellular,mar,3,failure,yes
1374,management,8000,no,no,cellular,may,1,success,yes
4436,self-employed,454,no,yes,cellular,nov,1,unknown,no
7135,management,611,no,no,cellular,jun,1,unknown,yes
732,services,778,yes,no,cellular,apr,2,unknown,no
4492,management,713,no,no,cellular,aug,1,unknown,no
3986,student,0,no,no,cellular,sep,1,unknown,no
787,management,265,no,no,cellular,aug,2,success,yes
6580,student,154,yes,no,unknown,may,9,unknown,no
2383,management,427,no,no,cellular,nov,1,unknown,no
2255,technician,565,no,no,cellular,aug,2,unknown,no
6651,blue-collar,2235,yes,no,cellular,nov,2,unknown,no
74,services,1667,yes,yes,unknown,may,1,unknown,no
3045,admin.,879,yes,no,unknown,may,7,unknown,no
6884,services,-336,no,yes,unknown,jun,8,unknown,no
5012,management,0,yes,no,cellular,jul,21,unknown,no
6876,technician,3144,no,no,cellular,jul,2,unknown,no
6124,services,410,no,no,cellular,nov,2,unknown,no
7306,management,80,no,no,cellular,oct,2,failure,yes
3481,services,101,yes,no,cellular,nov,2,unknown,no
4497,blue-collar,4840,no,no,unknown,jun,1,unknown,no
6765,unemployed,1766,no,no,unknown,jun,2,unknown,yes
3347,technician,-154,no,no,unknown,jun,3,unknown,no
3449,technician,318,no,no,cellular,feb,1,failure,yes
1680,technician,240,yes,yes,cellular,jul,3,unknown,no
6914,services,2459,yes,yes,unknown,may,1,unknown,no
3071,management,1724,no,no,cellular,feb,6,unknown,no
577,blue-collar,4406,yes,no,telephone,may,2,unknown,yes
2225,technician,7050,no,no,cellular,aug,1,unknown,yes
935,retired,6746,no,no,telephone,oct,1,unknown,yes
3686,technician,2183,yes,yes,unknown,may,1,unknown,yes
1793,admin.,1310,no,no,telephone,oct,1,unknown,no
5180,technician,271,yes,no,cellular,may,1,unknown,no
6955,services,1583,yes,no,cellular,jul,1,unknown,yes
5425,blue-collar,-320,yes,no,unknown,may,3,unknown,no
3238,blue-collar,1016,yes,no,cellular,jul,2,unknown,no
3815,admin.,7,yes,no,cellular,apr,1,failure,no
1762,admin.,7608,no,no,cellular,mar,4,unknown,yes
743,blue-collar,1777,yes,no,cellular,nov,5,failure,yes
1447,student,2488,no,no,cellular,jun,6,success,yes
2282,services,4216,no,no,cellular,jun,2,unknown,yes
3165,blue-collar,49,no,no,cellular,jan,2,unknown,yes
671,entrepreneur,2315,yes,yes,cellular,may,1,unknown,no
1040,management,4293,yes,no,cellular,may,2,failure,no
129,admin.,7336,no,no,cellular,mar,1,unknown,no
2342,self-employed,66,yes,no,unknown,may,5,unknown,no
4866,self-employed,2666,no,no,cellular,nov,2,success,yes
2349,blue-collar,33,yes,no,cellular,jul,2,unknown,yes
1349,services,-19,yes,no,unknown,may,1,unknown,no
5627,retired,43,no,no,cellular,dec,1,unknown,yes
7350,management,1146,yes,no,unknown,may,2,unknown,no
2248,unknown,0,no,no,cellular,aug,5,unknown,no
60,blue-collar,2,no,yes,telephone,jul,2,unknown,no
6459,services,1639,no,no,cellular,jan,1,unknown,yes
7317,self-employed,3262,no,no,cellular,aug,8,unknown,no
3887,blue-collar,2,yes,yes,cellular,nov,4,failure,no
7161,entrepreneur,11887,no,no,cellular,nov,2,unknown,yes
6203,technician,149,no,no,cellular,aug,2,unknown,yes
2999,admin.,92,yes,no,unknown,may,1,unknown,no
7226,technician,6481,no,no,cellular,oct,1,unknown,yes
6812,management,326,yes,no,cellular,may,1,unknown,yes
1743,admin.,1264,no,no,telephone,jan,2,unknown,no
3898,management,361,yes,no,unknown,may,7,unknown,no
4007,services,2944,no,no,cellular,aug,6,unknown,yes
1287,student,108,no,no,cellular,aug,1,success,yes
6180,management,2681,no,no,cellular,mar,2,unknown,yes
6896,management,62,yes,no,cellular,may,3,unknown,yes
4572,management,387,no,no,cellular,feb,5,unknown,no
3395,management,1187,yes,yes,cellular,feb,1,unknown,no
4887,blue-collar,315,no,no,cellular,jun,1,unknown,yes
6478,services,3740,yes,no,cellular,apr,1,unknown,no
4915,management,926,no,no,cellular,apr,1,unknown,yes
934,services,224,yes,no,cellular,apr,2,unknown,yes
5727,admin.,336,no,yes,cellular,jun,1,unknown,no
5537,retired,155,no,no,telephone,may,1,success,yes
5080,technician,60,no,no,cellular,aug,2,unknown,no
1883,retired,2929,no,no,unknown,jun,3,unknown,no
3248,management,4889,no,no,cellular,aug,2,unknown,yes
644,technician,195,yes,no,cellular,may,1,success,yes
1192,student,235,no,no,cellular,feb,1,success,yes
4114,unemployed,522,no,no,cellular,apr,1,unknown,no
6248,services,8918,yes,no,telephone,jul,2,unknown,no
1348,blue-collar,128,yes,no,unknown,may,1,unknown,no
1475,technician,9192,yes,no,unknown,jun,3,unknown,no
927,technician,479,no,no,unknown,may,5,unknown,no
4289,blue-collar,-375,yes,no,cellular,jul,2,unknown,no
516,management,7818,no,no,cellular,may,1,unknown,yes
4175,services,447,no,no,cellular,mar,3,unknown,yes
6103,technician,2556,no,no,cellular,aug,3,unknown,no
3262,management,4567,yes,yes,cellular,jul,1,unknown,no
1780,management,992,no,no,unknown,jun,1,unknown,no
5535,admin.,3834,yes,no,cellular,apr,2,failure,no
4614,services,302,no,no,cellular,jul,1,unknown,yes
959,services,1268,yes,no,cellular,apr,4,other,yes
4797,entrepreneur,-468,no,no,cellular,jul,1,unknown,yes
1498,technician,229,no,no,cellular,aug,2,unknown,no
5208,technician,0,yes,no,cellular,nov,1,success,yes
2409,management,149,no,no,cellular,nov,2,unknown,yes
2807,blue-collar,62,yes,no,cellular,may,3,unknown,yes
4051,management,2161,no,no,cellular,mar,2,success,yes
335,blue-collar,-203,yes,no,unknown,jun,3,unknown,yes
16,technician,863,yes,no,cellular,feb,1,success,no
2312,admin.,736,yes,no,unknown,may,1,unknown,no
6632,retired,1097,no,no,telephone,mar,1,unknown,yes
7411,unknown,179,no,no,cellular,aug,8,unknown,no
1594,management,771,yes,yes,cellular,aug,5,unknown,no
5896,retired,565,no,no,telephone,jul,1,unknown,yes
7162,entrepreneur,7752,yes,no,cellular,jul,4,unknown,no
7327,admin.,110,yes,yes,cellular,feb,2,unknown,no
7397,technician,4243,yes,no,cellular,feb,1,failure,no
3982,blue-collar,640,yes,no,cellular,mar,1,success,yes
7014,management,-558,yes,no,cellular,jul,1,unknown,no
3952,admin.,-122,yes,no,unknown,jun,3,unknown,yes
3527,technician,-616,yes,yes,unknown,may,1,unknown,no
99,services,190,yes,no,cellular,may,3,unknown,no
5405,self-employed,1382,no,no,unknown,jun,1,unknown,yes
2840,admin.,683,no,no,cellular,nov,1,unknown,no
4656,blue-collar,142,yes,no,cellular,may,2,failure,no
3404,blue-collar,96,yes,no,cellular,nov,1,unknown,no
3114,management,8486,no,no,unknown,may,3,unknown,no
2810,technician,9001,no,no,cellular,apr,1,unknown,yes
4702,services,133,no,no,cellular,jan,2,success,yes
1452,management,1168,no,no,telephone,may,5,unknown,no
6292,technician,1699,no,no,cellular,nov,2,success,yes
2439,technician,86,no,yes,cellular,jul,2,unknown,no
4431,admin.,169,no,no,cellular,feb,1,success,yes
2227,admin.,1734,no,no,cellular,oct,1,unknown,no
6756,blue-collar,217,yes,no,cellular,may,1,unknown,yes
2530,management,4567,no,no,telephone,jul,4,unknown,no
6275,self-employed,0,no,no,cellular,aug,4,unknown,no
5794,technician,211,yes,no,cellular,jan,2,unknown,no
6317,blue-collar,621,yes,no,cellular,apr,5,unknown,yes
2665,blue-collar,96,yes,no,cellular,apr,3,failure,yes
2699,technician,11,no,no,cellular,aug,2,unknown,no
2993,self-employed,970,yes,no,cellular,may,1,unknown,no
4998,services,319,yes,no,unknown,jun,3,unknown,yes
1634,admin.,0,yes,no,unknown,may,2,unknown,no
4502,services,84,yes,no,unknown,may,1,unknown,no
690,admin.,35,no,no,telephone,nov,1,unknown,no
3691,blue-collar,1822,yes,no,cellular,apr,1,other,yes
782,services,77,yes,no,cellular,may,1,failure,yes
68,unemployed,20,no,no,telephone,nov,1,unknown,no
4761,retired,767,no,no,unknown,jun,2,unknown,no
848,blue-collar,1723,no,no,cellular,jun,2,failure,yes
5966,admin.,728,yes,yes,cellular,may,1,failure,no
6913,unemployed,756,no,no,cellular,jul,2,unknown,yes
270,blue-collar,1504,yes,no,cellular,apr,2,unknown,no
2680,unemployed,1289,no,no,cellular,jul,4,failure,yes
385,admin.,30,yes,no,cellular,feb,1,failure,no
1999,management,99,yes,no,unknown,jun,2,unknown,yes
1011,technician,5,no,no,cellular,aug,2,unknown,no
2685,technician,1195,yes,no,unknown,may,9,unknown,no
5046,services,12223,yes,no,cellular,nov,1,unknown,no
807,self-employed,1498,no,no,cellular,feb,1,unknown,no
4376,management,1228,no,no,cellular,nov,2,failure,yes
6044,blue-collar,-438,no,no,cellular,may,1,unknown,yes
1067,blue-collar,567,no,no,cellular,nov,2,success,yes
403,blue-collar,-575,yes,no,unknown,jun,9,unknown,no
2320,technician,3308,no,no,cellular,jul,2,unknown,yes
2097,admin.,541,yes,no,unknown,jun,4,unknown,no
3675,management,2578,no,no,cellular,nov,4,failure,no
756,technician,788,no,no,unknown,jun,7,unknown,no
568,unemployed,926,no,no,cellular,feb,4,success,yes
6437,unemployed,140,yes,no,telephone,may,2,unknown,no
474,blue-collar,193,yes,no,cellular,aug,2,unknown,no
4955,unemployed,780,no,no,cellular,aug,2,unknown,yes
3950,technician,728,yes,no,cellular,feb,1,other,no
881,blue-collar,201,yes,no,cellular,feb,1,unknown,yes
2581,technician,778,yes,no,cellular,may,2,failure,no
5855,management,0,no,no,cellular,sep,2,unknown,yes
550,admin.,220,no,no,cellular,may,1,unknown,no
4307,management,-508,yes,no,cellular,apr,2,unknown,no
3137,management,536,no,no,cellular,oct,1,success,yes
6187,blue-collar,316,yes,no,unknown,may,1,unknown,no
5073,blue-collar,303,no,no,cellular,mar,1,unknown,yes
2696,admin.,329,no,no,cellular,aug,3,unknown,no
3777,management,1982,no,no,cellular,nov,1,unknown,yes
307,management,623,no,no,cellular,sep,3,unknown,no
4905,technician,13,no,yes,cellular,jul,4,unknown,no
4598,student,2321,no,no,cellular,nov,2,failure,no
2353,technician,4596,yes,no,cellular,apr,2,unknown,yes
78,self-employed,951,yes,no,cellular,nov,2,unknown,no
6835,blue-collar,737,yes,yes,unknown,may,1,unknown,no
3094,technician,568,yes,no,telephone,jul,2,unknown,no
375,blue-collar,23,no,no,cellular,feb,2,unknown,no
7047,admin.,2,yes,no,unknown,may,1,unknown,no
301,management,224,yes,no,cellular,apr,2,failure,yes
5523,management,2069,no,no,cellular,apr,1,unknown,yes
3644,admin.,1031,no,no,cellular,jun,4,unknown,yes
4295,management,2044,no,no,telephone,feb,1,unknown,no
5446,admin.,952,no,no,cellular,jun,1,unknown,yes
7005,technician,-805,no,no,cellular,aug,6,unknown,no
2109,technician,589,yes,yes,unknown,may,1,unknown,no
2387,blue-collar,68,yes,no,unknown,may,1,unknown,no
5546,management,616,no,no,cellular,apr,1,success,yes
4279,housemaid,131,yes,yes,cellular,may,1,unknown,no
4216,management,3951,no,no,cellular,jan,1,success,yes
4952,unemployed,201,no,no,cellular,feb,2,success,yes
4171,blue-collar,238,yes,yes,cellular,jun,2,success,no
6308,management,-6,no,no,telephone,jul,16,unknown,no
4997,retired,5715,no,no,cellular,may,1,success,yes
6844,self-employed,551,no,no,cellular,jul,1,unknown,yes
2490,management,506,no,no,cellular,mar,2,unknown,yes
5703,management,297,yes,no,cellular,aug,4,unknown,no
4882,student,691,no,no,cellular,aug,1,unknown,yes
6407,admin.,131,yes,yes,unknown,may,1,unknown,no
1535,services,339,yes,no,unknown,may,4,unknown,no
4514,management,161,yes,no,cellular,jul,1,unknown,no
114,management,1336,yes,yes,cellular,may,2,failure,no
1719,technician,4787,yes,no,cellular,nov,1,failure,no
4290,management,697,no,no,cellular,aug,3,success,yes
7278,technician,1139,yes,no,cellular,jan,1,unknown,no
484,admin.,983,yes,no,cellular,may,2,unknown,yes
2295,blue-collar,771,yes,yes,unknown,jun,1,unknown,no
6464,retired,11,yes,yes,cellular,aug,10,unknown,no
2411,technician,589,yes,no,unknown,may,2,unknown,yes
1393,blue-collar,455,no,no,telephone,may,2,success,yes
5793,blue-collar,0,yes,yes,cellular,jul,4,unknown,yes
4252,admin.,2002,yes,no,cellular,may,2,failure,no
305,management,459,no,no,cellular,aug,14,unknown,no
602,blue-collar,455,no,no,telephone,apr,1,unknown,yes
1009,services,-395,yes,no,cellular,may,1,unknown,yes
5940,student,1536,no,no,cellular,aug,2,unknown,yes
1880,admin.,4708,no,no,cellular,jun,1,success,yes
4522,admin.,-12,yes,no,unknown,jun,1,unknown,no
2379,services,-8,yes,no,unknown,may,1,unknown,yes
4615,blue-collar,865,no,yes,unknown,may,5,unknown,no
1430,technician,1831,no,no,cellular,may,2,unknown,yes
518,admin.,-65,no,no,cellular,jul,1,unknown,no
6940,management,687,no,no,cellular,aug,2,unknown,no
3488,admin.,0,yes,yes,cellular,apr,2,unknown,yes
1052,technician,147,yes,no,unknown,may,1,unknown,no
5089,technician,507,no,no,cellular,aug,4,unknown,no
457,services,167,no,yes,cellular,jul,2,unknown,yes
7087,housemaid,435,yes,no,telephone,jul,6,unknown,no
4082,technician,925,no,no,cellular,nov,1,unknown,no
561,management,313,no,no,telephone,oct,1,unknown,yes
370,admin.,0,no,yes,unknown,jun,1,unknown,no
2964,management,621,no,no,cellular,aug,5,unknown,no
1406,unemployed,687,yes,no,cellular,apr,2,unknown,yes
5366,technician,204,yes,no,cellular,may,1,unknown,yes
1258,management,1028,no,no,cellular,feb,2,unknown,yes
3275,blue-collar,431,yes,no,unknown,may,2,unknown,no
6338,management,580,no,no,cellular,aug,2,unknown,no
3949,technician,1788,no,no,cellular,aug,1,unknown,no
4933,admin.,0,yes,no,cellular,nov,1,unknown,no
1548,management,30,no,no,cellular,aug,2,unknown,no
793,technician,12264,no,no,cellular,oct,1,success,yes
4354,blue-collar,1624,no,no,unknown,jun,3,unknown,no
1331,student,1608,no,no,cellular,apr,2,unknown,yes
2415,management,1875,no,no,cellular,nov,1,unknown,no
3047,admin.,0,yes,no,cellular,dec,1,success,yes
2463,student,1925,no,no,cellular,oct,3,success,yes
3837,blue-collar,640,yes,no,cellular,may,1,unknown,yes
6105,technician,183,yes,no,cellular,apr,3,failure,no
592,technician,117,no,no,cellular,aug,2,other,yes
3824,blue-collar,1085,yes,yes,cellular,may,2,other,yes
1311,self-employed,1549,yes,no,unknown,jun,7,unknown,no
946,management,53,yes,no,cellular,jul,17,unknown,no
2870,management,1257,no,no,cellular,aug,1,unknown,yes
7380,management,1026,no,no,cellular,feb,2,success,yes
5639,management,687,yes,no,unknown,may,2,unknown,no
2738,management,502,no,yes,cellular,jul,1,unknown,yes
5924,blue-collar,6281,no,no,cellular,oct,1,other,yes
95,technician,235,yes,no,telephone,aug,6,unknown,no
6641,blue-collar,3131,yes,no,unknown,jun,3,unknown,no
3816,unemployed,1236,no,no,cellular,jul,2,unknown,no
6607,services,5024,no,no,unknown,may,1,unknown,no
6066,student,4869,yes,no,cellular,may,2,other,no
2899,services,320,no,no,telephone,feb,4,unknown,yes
4645,admin.,1248,yes,yes,cellular,may,3,unknown,no
6999,admin.,10465,no,no,unknown,jun,6,unknown,no
2451,admin.,1395,yes,yes,cellular,may,1,failure,no
4745,retired,476,no,no,telephone,jun,1,unknown,yes
5736,entrepreneur,5315,yes,yes,cellular,may,2,unknown,no
7291,management,3696,no,no,unknown,may,3,unknown,no
5076,admin.,-32,no,yes,cellular,aug,2,success,yes
1324,entrepreneur,2077,no,no,cellular,aug,1,unknown,yes
3125,technician,1075,no,no,cellular,sep,2,success,yes
2867,student,423,no,no,cellular,apr,5,unknown,yes
1093,student,1925,no,no,cellular,feb,1,success,no
7127,management,9,no,no,cellular,aug,4,unknown,yes
4302,services,339,no,no,cellular,jun,1,unknown,yes
6094,blue-collar,5252,yes,no,unknown,may,2,unknown,no
2757,management,-461,yes,no,unknown,may,2,unknown,no
463,retired,250,no,no,cellular,feb,1,unknown,yes
656,management,-375,no,no,cellular,jul,2,unknown,yes
1366,services,659,no,no,cellular,oct,1,unknown,yes
4079,technician,1081,no,no,cellular,apr,5,failure,yes
2498,admin.,4023,no,no,unknown,jun,2,unknown,no
1560,management,1464,no,no,cellular,oct,2,success,yes
1118,management,334,no,no,cellular,nov,1,unknown,no
3811,management,1808,yes,no,cellular,feb,1,unknown,yes
6880,management,-45,yes,no,unknown,may,6,unknown,no
6623,admin.,36,no,no,cellular,aug,6,unknown,no
7262,technician,484,yes,no,cellular,feb,6,success,yes
37,services,54,yes,no,unknown,may,1,unknown,no
2115,self-employed,-341,no,yes,cellular,nov,2,unknown,no
3399,management,8929,no,no,cellular,mar,1,unknown,yes
431,blue-collar,2467,no,no,cellular,jun,1,unknown,yes
1807,retired,0,no,yes,cellular,jul,2,unknown,no
213,management,247,no,no,cellular,sep,2,failure,yes
1617,services,-195,yes,no,cellular,may,1,unknown,yes
4086,services,241,yes,no,cellular,may,1,failure,no
5440,retired,2223,no,no,telephone,aug,2,success,no
2736,blue-collar,-191,yes,no,unknown,jun,7,unknown,yes
2961,admin.,200,no,no,cellular,jun,1,unknown,yes
1992,admin.,7426,no,no,telephone,nov,2,unknown,no
1072,entrepreneur,179,no,no,cellular,aug,2,unknown,no
2082,self-employed,163,yes,no,cellular,aug,1,success,no
1606,blue-collar,602,yes,no,unknown,may,12,unknown,no
331,admin.,110,yes,no,telephone,feb,1,unknown,no
4720,technician,337,yes,no,cellular,aug,4,unknown,no
5766,services,1539,no,no,unknown,jun,2,unknown,no
1610,technician,556,yes,no,cellular,aug,2,unknown,yes
412,management,1030,no,no,cellular,mar,2,unknown,yes
5138,blue-collar,1308,no,yes,unknown,jun,1,unknown,no
1299,technician,1609,yes,no,unknown,may,3,unknown,no
839,admin.,683,no,no,cellular,nov,1,unknown,no
4509,entrepreneur,6188,no,no,cellular,nov,1,unknown,yes
3154,management,1,yes,no,cellular,jul,4,unknown,yes
4704,retired,6307,yes,no,unknown,jun,1,unknown,no
6355,blue-collar,97,yes,no,unknown,may,1,unknown,no
3903,admin.,241,no,no,cellular,jul,1,unknown,no
2192,admin.,1630,yes,no,cellular,jan,1,unknown,no
2366,services,4482,yes,no,unknown,may,2,unknown,no
5897,student,1134,no,no,cellular,apr,4,unknown,yes
481,admin.,2374,yes,no,cellular,feb,2,success,yes
952,blue-collar,895,yes,no,cellular,feb,3,unknown,no
1489,technician,1364,yes,no,unknown,may,6,unknown,yes
4972,technician,399,yes,no,cellular,may,2,failure,yes
933,admin.,1880,yes,no,unknown,may,1,unknown,no
4788,blue-collar,925,yes,no,telephone,may,1,unknown,no
2678,admin.,59,yes,no,cellular,jul,3,unknown,no
1875,retired,3771,no,no,telephone,oct,1,failure,yes
795,admin.,497,yes,no,cellular,feb,3,other,no
926,admin.,274,yes,yes,cellular,jul,4,unknown,no
544,management,86,no,no,cellular,jun,3,other,yes
4442,technician,11431,no,no,cellular,aug,5,unknown,no
6462,management,257,no,no,cellular,feb,1,failure,no
786,blue-collar,13156,yes,no,cellular,apr,4,failure,no
7147,management,4069,no,no,cellular,nov,1,unknown,yes
2624,admin.,2601,no,no,cellular,sep,1,unknown,yes
416,unemployed,2573,no,no,cellular,may,2,unknown,yes
5528,admin.,1180,no,no,cellular,jan,1,other,yes
2438,student,348,no,no,cellular,may,4,unknown,yes
321,services,694,yes,no,cellular,jul,14,unknown,no
5903,management,623,no,no,cellular,jun,4,other,yes
5815,unemployed,0,no,no,cellular,jul,1,failure,yes
1150,self-employed,426,yes,no,unknown,jun,1,unknown,no
1298,retired,143,no,no,telephone,jan,1,unknown,no
2034,blue-collar,136,no,no,cellular,may,2,failure,yes
288,blue-collar,419,yes,no,unknown,jun,2,unknown,yes
6110,unknown,1541,no,no,cellular,aug,1,unknown,no
3510,services,322,yes,no,cellular,may,1,failure,no
2952,admin.,873,yes,no,unknown,may,3,unknown,yes
7378,blue-collar,776,yes,no,unknown,may,1,unknown,no
5283,retired,243,no,no,cellular,oct,1,unknown,yes
2264,admin.,982,no,no,cellular,jul,1,unknown,no
7313,management,385,no,yes,cellular,feb,4,failure,no
3765,technician,-849,yes,yes,unknown,may,1,unknown,no
6996,technician,248,no,no,cellular,aug,4,unknown,no
1863,services,152,yes,no,unknown,jun,1,unknown,yes
1798,management,14,no,no,cellular,jul,2,unknown,no
7232,self-employed,7602,no,no,cellular,nov,1,unknown,no
5585,blue-collar,25,yes,no,unknown,jun,2,unknown,no
6714,entrepreneur,219,yes,yes,cellular,jul,4,unknown,no
2656,housemaid,1163,no,no,cellular,apr,8,unknown,yes
4331,technician,1286,no,no,telephone,aug,12,unknown,no
937,technician,-378,yes,no,cellular,feb,1,failure,no
4505,blue-collar,1131,yes,yes,cellular,apr,1,failure,no
2348,retired,2269,no,no,cellular,nov,2,success,yes
5408,admin.,70,yes,no,cellular,mar,2,unknown,yes
